grupo,T_jk,p_val,bw_l,bw_r,n_l,n_r
AD_pre,-2.447410032706672,0.01438870425951094,1006829.2760592249,1173876.9792943601,4491,1144
AD_post,-3.61887954582047,2.9588131003037665e-4,1120069.5499999998,1120069.5499999998,447,74
Cont_pre,-0.3848342754630291,0.7003602030084598,879519.36809614,900478.7492953672,10648,3848
Cont_post,-2.9253877355867357,0.0034402728065160274,891865.1140979984,1118849.119884127,1494,562
