grupo,n,B_hat,B_lo,B_hi,M_hat,M_lo,M_hi
AD · pre-vigencia,5635,58.58329656119514,14.181503470616875,108.643407697728,10.61974081210387,-33.12234396928232,53.047062140917625
AD · post-vigencia,521,41.22094277982581,24.363799878240407,59.47974350322167,8.44434641392421,-1.764643684442398,18.385556110141394
Contrata · pre,14496,150.33995064836787,65.64789187102228,231.67543999734943,-20.783026295663575,-99.81421917837204,54.39160978162832
Contrata · post,2056,22.05149002356786,-8.935098321958524,55.68148843716123,40.16047251467039,13.288177877889156,66.36864954036353
