mod,ventana,share,n
AD,pre,0.6006144393241167,651
AD,anuncio,0.6666666666666666,24
AD,post,0.8831168831168831,77
Contrata,pre,0.5655934646804421,2081
Contrata,anuncio,0.6140350877192983,114
Contrata,post,0.6360424028268551,283
